R,G,B
131,53,14
138,62,13
144,69,11
150,75,8
159,82,14
165,85,16
170,87,17
176,90,17
184,94,16
190,97,17
197,103,16
200,105,15
206,109,14
211,113,14
215,118,15
218,121,16
221,123,16
221,125,15
219,127,16
220,128,17
220,128,17
223,128,18
222,127,17
222,125,18
221,124,17
220,123,18
219,122,19
216,120,18
211,117,19
207,114,19
203,112,19
198,109,17
193,104,14
188,100,13
182,93,13
181,90,14
174,86,14
169,80,12
162,74,11
152,67,10
141,59,9
132,54,8
121,47,8
116,47,14
106,42,15
96,35,14
87,31,14
81,29,15
73,24,10
60,20,8
47,19,8
39,19,8
36,18,8
33,14,7
30,13,6
28,10,6
26,11,8
25,11,10
21,9,9
21,9,9
17,7,6
12,4,1
12,4,1
13,8,2
12,7,1
3,1,4
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
5,3,6
5,2,6
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
3,1,2
3,1,2
2,1,2
3,1,2
3,1,2
3,1,3
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
6,4,5
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
3,3,5
2,3,5
2,3,5
2,3,5
2,3,5
3,3,5
3,3,5
3,3,5
5,3,6
5,3,6
5,3,6
5,3,6
7,2,6
7,2,6
7,2,6
7,2,6
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
8,2,4
8,2,4
9,3,5
10,4,6
11,5,7
11,5,7
15,5,6
24,8,8
29,8,7
34,8,7
41,11,9
49,14,12
58,17,13
68,19,12
76,19,8
84,22,7
97,28,9
110,36,11
118,41,11
123,45,9
131,49,9
139,56,12
145,63,13
148,72,10
156,79,11
163,84,15
171,89,16
175,91,18
181,94,17
188,99,17
194,102,17
199,105,15
202,107,13
205,111,13
211,115,13
215,120,14
217,122,14
219,124,14
218,126,15
218,128,16
218,128,16
219,129,17
220,128,17
222,127,17
221,126,16
219,124,14
218,123,15
216,120,17
211,118,15
208,114,16
205,112,16
200,109,16
195,106,16
189,101,12
186,97,13
180,90,12
178,86,13
173,82,12
166,77,11
160,72,9
149,64,9
140,56,9
131,52,9
119,45,8
115,44,14
105,39,13
94,33,12
85,29,12
80,28,15
72,24,12
60,20,10
46,18,7
41,18,10
36,16,9
33,12,7
29,10,6
26,8,6
23,7,7
23,7,7
23,9,9
21,9,11
17,7,8
13,5,3
13,5,3
14,9,5
13,8,4
3,1,4
3,1,4
3,1,4
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
2,1,2
3,1,2
4,2,3
5,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
3,1,2
2,2,2
1,2,4
1,2,4
1,2,4
1,2,4
1,2,4
1,2,4
2,2,4
2,2,4
3,3,5
4,2,5
4,2,5
4,2,5
6,1,5
6,1,5
6,1,5
6,1,5
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
7,1,3
8,2,4
8,2,4
9,3,5
9,3,5
10,4,6
11,5,7
12,6,8
15,5,6
24,6,4
30,6,4
36,8,5
41,10,7
50,13,7
60,15,9
71,18,10
79,19,8
90,24,8
101,30,8
113,38,9
122,43,10
129,47,9
134,50,9
142,58,12
147,64,10
150,72,6
155,78,6
164,84,11
170,88,14
174,91,15
180,93,14
187,98,16
192,102,14
197,106,15
201,108,13
206,112,14
209,116,13
212,119,13
214,122,13
216,124,13
215,125,13
214,127,14
215,128,15
217,127,15
217,127,15
217,125,14
218,123,13
217,122,14
216,121,15
